"province" "country" "latitude" "longitude"
"Missouri" "United States" 38.99200848 -92.31079504
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.91338 -90.3576
"Iowa" "United States" 41.67180992 -91.58862202
"Louisiana" "United States" 29.91338 -90.3576
"Louisiana" "United States" 30.40684 -89.9643
"Louisiana" "United States" 30.40684 -89.9643
"Louisiana" "United States" 29.42585 -90.873
"Louisiana" "United States" 29.42585 -90.873
"Louisiana" "United States" 32.6801 -93.6061
"Louisiana" "United States" 30.1128 -90.5079
"Louisiana" "United States" 29.87286 -89.6004
"Louisiana" "United States" 30.40684 -89.9643
"Louisiana" "United States" 30.40684 -89.9643
"Iowa" "United States" 41.67180992 -91.58862202
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Iowa" "United States" 41.67180992 -91.58862202
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.16977654 -86.78477633
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"New York" "United States" 40.661 -73.944
"Washington" "United States" 47.7 -122.19
"Oregon" "United States" 45.5601 -123.099
"Oregon" "United States" 45.59429 -118.739
"Tennessee" "United States" 36.16977654 -86.78477633
"Washington" "United States" 47.486667 -122.195278
"Washington" "United States" 47.49133 -121.804
"Tennessee" "United States" 35.18493569 -89.89607245
"Tennessee" "United States" 36.16977654 -86.78477633
"Tennessee" "United States" 36.40411585 -84.14991658
"Tennessee" "United States" 35.18166052 -85.1650054
"Tennessee" "United States" 36.05138784 -83.44620056
"Tennessee" "United States" 35.99385999 -83.93674156
"Iowa" "United States" 41.67180992 -91.58862202
"Tennessee" "United States" 35.84359608 -86.41602777
"Tennessee" "United States" 35.89432895 -86.89947535
"Washington" "United States" 47.7 -122.19
"Washington" "United States" 47.7 -122.19
"Washington" "United States" 47.7 -122.19
"Washington" "United States" 47.7 -122.19
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"California" "United States" 39.06467181 -120.7156477
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"New Hampshire" "United States" 42.98656903 -71.12922845
"Tennessee" "United States" 35.89432895 -86.89947535
"Tennessee" "United States" 35.89432895 -86.89947535
"Alabama" "United States" 32.22166063 -86.20797553
"Idaho" "United States" 44.46854641 -114.6840282
"Montana" "United States" 45.54534003 -111.1696942
"Montana" "United States" 45.93759739 -108.273918
"Montana" "United States" 46.33383148 -111.4957949
"Missouri" "United States" 38.62722 -90.1978
"Missouri" "United States" 38.39820373 -92.48765588
"Florida" "United States" 27.92895182 -82.72178993
"Ohio" "United States" 41.42464273 -81.65878238
"Arkansas" "United States" 34.91679031 -92.43766184
"Arkansas" "United States" 34.91679031 -92.43766184
"Arkansas" "United States" 34.91679031 -92.43766184
"Arkansas" "United States" 34.91679031 -92.43766184
"Arkansas" "United States" 34.91679031 -92.43766184
"Alabama" "United States" 32.59764321 -86.14885235
"Alabama" "United States" 33.55493842 -86.89626324
"Alabama" "United States" 34.81058153 -86.98138379
"Alabama" "United States" 33.29030954 -87.52480395
"Alabama" "United States" 32.81785427 -86.8272198
"Ohio" "United States" 41.42464273 -81.65878238
"Florida" "United States" 28.51449796 -81.32371698
"Florida" "United States" 28.06323072 -81.1497095
"Florida" "United States" 25.61359856 -80.56596316
"Florida" "United States" 27.47160807 -82.30022041
"Florida" "United States" 27.47160807 -82.30022041
"Florida" "United States" 29.05730729 -81.18413567
"Florida" "United States" 26.64712136 -80.46689725
"Florida" "United States" 26.64712136 -80.46689725
